VEND_NAME,ADDR_DC,LN_1_ADR,LN_2_ADR,LN_3_ADR,CITY_NAME,MAIL_STATE_DC,POSTAL_CD,VEND_APPRVL_CD,VEND_GRP_CD,lat,lon
"AMERICAN ELECTRICAL, INC.",REMIT,P.O. Box 73150, , ,Richmond,VA,23235,A,ELCTRN,,
AMERICAN GFM CORPORATION,ORD1,1200 CAVALIER BLVD, , ,CHESAPEAKE,VA,23323,A,CRTCAL,,
AMERICAN GFM CORPORATION,PMT1,P.O. BOX 758750, , ,BALTIMORE,MD,21275-8750,A,CRTCAL,,
AMERICAN SCAFFOLD (EC),PMT1,PO BOX 13835, , ,SAN DIEGO,CA,92170,A,CRTCAL,,
AMERICAN SCAFFOLD (EC),ORD1,PO BOX 13835, , ,SAN DIEGO,CA,92170,A,CRTCAL,,
"AMERICAN TUGS, INC.",PYMT,1010 ORCHID STREET,APT # 1104, ,SAN JUAN,PR,00926,A,ELCTR,,
AMERICAN-OCEANIC COATINGS,PMT1,PO BOX 61875, , ,VIRGINIA BEACH,VA,23466,A,PAINT,,
AMERIPACK,ORD1,107 NORTH GOLD DR, , ,ROBBINSVILLE,NJ,08691,A,HDW,,
AMETEK,ORD1,3375 N Delaware St, , ,Chandler,AZ,85225,A,ELECT,,
AMETEK,PMT4,PO BOX 786035, , ,PHILADELPHIA,PA,19178-6035,A,ELECT,,
AMETEK,PMT2,PO BOX 419319, , ,Boston,MA,02241-9319,A,ELECT,,
AMETEK,ORD,55 Hasbrouck Lane , , ,Woodstock,NY,12498,A,ELECT,,
AMETEK,REMIT,P.O. Box 90255, , ,Chicago,IL,60696-0255,A,ELECT,,
AMETEK,PMT3,11 COMMERCE BLVD, , ,MIDDLEBORO,MA,02346,A,ELECT,,
AMP UNITED LLC,ORD1,50 SHEFFIELD DR,SUITE 104, ,DOVER,NH,03820,A,CRTCAL,,
AMP UNITED LLC,PMT1,50 SHEFFIELD DR,SUITE 104, ,DOVER,NH,03820,A,CRTCAL,,
AMP UNITED LLC,1099,50 SHEFFIELD DR,SUITE 104, ,DOVER,NH,03820,A,CRTCAL,,
AMPHENOL FIBER SYSTEMS,ORD1,"1300 Central Expressway North, Suite 100", , ,Allen,TX,75013,A,ELCTRN,,
ANCHOR MARINE,PMT1,6545 LINDBERGH, , ,HOUSTON,TX,77087,A,HDW,,
ANCRA INTERNATIONAL  ,ORD1,2685 CIRCLEPORT DRIVE, , ,ERLANGER,KY,41018,A,STRAP,,
